Market;Manufacturer;Brand;Channel;Fact;metric;TimePoint;Value
UK;Total;Total;Total;Base Value Sales;Dollars;2014;147538891
US;Total;Total;Total;Base Value Sales;Dollars;2014;1360922801
Japan;Total;Total;Total;Base Value Sales;Dollars;2014;
Australia;Total;Total;Total;Base Volume Sales;Liters;2014;5489109
Brazil;Total;Total;Total;Base Volume Sales;Liters;2014;
Canada;Total;Total;Total;Base Volume Sales;Liters;2014;11790175
Germany;Total;Total;Total;Base Volume Sales;Liters;2014;29034151
Italy;Total;Total;Total;Base Volume Sales;Liters;2014;10119577
Mexico;Total;Total;Total;Base Volume Sales;Liters;2014;
Spain;Total;Total;Total;Base Volume Sales;Liters;2014;13740341
UK;Total;Total;Total;Base Volume Sales;Liters;2014;16028592
US;Total;Total;Total;Base Volume Sales;Liters;2014;236031990
Japan;Total;Total;Total;Base Volume Sales;Liters;2014;
Australia;Total;Total;Total;Promo Value Sales;Dollars;2014;37418757
Brazil;Total;Total;Total;Promo Value Sales;Dollars;2014;
Canada;Total;Total;Total;Promo Value Sales;Dollars;2014;59036068
Germany;Total;Total;Total;Promo Value Sales;Dollars;2014;45141150
Italy;Total;Total;Total;Promo Value Sales;Dollars;2014;36234200
Mexico;Total;Total;Total;Promo Value Sales;Dollars;2014;
Spain;Total;Total;Total;Promo Value Sales;Dollars;2014;26782469
UK;Total;Total;Total;Promo Value Sales;Dollars;2014;127409429
US;Total;Total;Total;Promo Value Sales;Dollars;2014;379329712
Japan;Total;Total;Total;Promo Value Sales;Dollars;2014;
Australia;Total;Total;Total;Promo Volume Sales;Liters;2014;4519608
Brazil;Total;Total;Total;Promo Volume Sales;Liters;2014;
Canada;Total;Total;Total;Promo Volume Sales;Liters;2014;11609234
Germany;Total;Total;Total;Promo Volume Sales;Liters;2014;6054666
Italy;Total;Total;Total;Promo Volume Sales;Liters;2014;4665602
Mexico;Total;Total;Total;Promo Volume Sales;Liters;2014;
Spain;Total;Total;Total;Promo Volume Sales;Liters;2014;3877584
UK;Total;Total;Total;Promo Volume Sales;Liters;2014;17737671
US;Total;Total;Total;Promo Volume Sales;Liters;2014;71426970
Japan;Total;Total;Total;Promo Volume Sales;Liters;2014;
Australia;Total;Total;Total;Base Promo Volume;Liters;2014;1194396
Brazil;Total;Total;Total;Base Promo Volume;Liters;2014;
Canada;Total;Total;Total;Base Promo Volume;Liters;2014;3554444
Germany;Total;Total;Total;Base Promo Volume;Liters;2014;3633470
Italy;Total;Total;Total;Base Promo Volume;Liters;2014;1762171
Mexico;Total;Total;Total;Base Promo Volume;Liters;2014;
Spain;Total;Total;Total;Base Promo Volume;Liters;2014;2395041
UK;Total;Total;Total;Base Promo Volume;Liters;2014;4769464
US;Total;Total;Total;Base Promo Volume;Liters;2014;49966079
Japan;Total;Total;Total;Base Promo Volume;Liters;2014;
Australia;Total;Total;Total;Innovation Volume share;%;2014;0.037769479
Brazil;Total;Total;Total;Innovation Volume share;%;2014;0.018664327
Canada;Total;Total;Total;Innovation Volume share;%;2014;0.037131151
Germany;Total;Total;Total;Innovation Volume share;%;2014;0.054905485
Italy;Total;Total;Total;Innovation Volume share;%;2014;0.042195496
Mexico;Total;Total;Total;Innovation Volume share;%;2014;0.034525198
Spain;Total;Total;Total;Innovation Volume share;%;2014;0.019654523
UK;Total;Total;Total;Innovation Volume share;%;2014;0.02037876
US;Total;Total;Total;Innovation Volume share;%;2014;0.037610552
Japan;Total;Total;Total;Innovation Volume share;%;2014;0.051867396
Australia;Total;Total;Total;Innovation TDP share;%;2014;0.064157133
Brazil;Total;Total;Total;Innovation TDP share;%;2014;0.031822565
Canada;Total;Total;Total;Innovation TDP share;%;2014;0.082427004
Germany;Total;Total;Total;Innovation TDP share;%;2014;0.051369726
Italy;Total;Total;Total;Innovation TDP share;%;2014;0.070385748
Mexico;Total;Total;Total;Innovation TDP share;%;2014;0.0523443
Spain;Total;Total;Total;Innovation TDP share;%;2014;0.05696253
UK;Total;Total;Total;Innovation TDP share;%;2014;0.032427598
US;Total;Total;Total;Innovation TDP share;%;2014;0.075079798
Japan;Total;Total;Total;Innovation TDP share;%;2014;0.086741072
Australia;Total;Total;Total;Innovation SKU share;%;2014;0.027371101
Brazil;Total;Total;Total;Innovation SKU share;%;2014;0.044247788
Canada;Total;Total;Total;Innovation SKU share;%;2014;0.131509267
Germany;Total;Total;Total;Innovation SKU share;%;2014;0.096204766
Italy;Total;Total;Total;Innovation SKU share;%;2014;0.093037585
Mexico;Total;Total;Total;Innovation SKU share;%;2014;0.0625
Spain;Total;Total;Total;Innovation SKU share;%;2014;0.08700502
UK;Total;Total;Total;Innovation SKU share;%;2014;0.082508251
US;Total;Total;Total;Innovation SKU share;%;2014;0.048168355
Japan;Total;Total;Total;Innovation SKU share;%;2014;0.118797845
